term,TF,,,,IDF,Bobot,,,
,D1,D2,D3,D4,,D1,D2,D3,D4
algoritma:,1,0,0,1,0.301029996,0.301029996,0,0,0.301029996
program:,1,0,0,1,,0.301029996,0,0,0.301029996
materi:,1,0,0,0,0.602059991,0.602059991,0,0,0
kuasa:,1,0,0,0,,0.602059991,0,0,0
mahasiswa:,1,1,0,0,0.301029996,0.301029996,0.301029996,0,0
jurus:,1,0,0,0,0.602059991,0.602059991,0,0,0
teknik:,1,0,0,0,,0.602059991,0,0,0
informatika:,1,0,0,0,,0.602059991,0,0,0
adakan:,0,1,0,0,,0,0.602059991,0,0
sesuai:,0,1,0,1,0.301029996,0,0.301029996,0,0.301029996
sistem:,0,1,0,0,0.602059991,0,0.602059991,0,0
ajar:,0,1,0,1,0.301029996,0,0.301029996,0,0.301029996
milik:,0,1,0,0,0.602059991,0,0.602059991,0,0
motivasi:,0,1,0,0,,0,0.602059991,0,0
jurnal:,0,0,1,0,,0,0,0.602059991,0
tingkat:,0,0,1,0,,0,0,0.602059991,0
unsur:,0,0,1,0,,0,0,0.602059991,0
gamifikasi:,0,0,1,1,0.301029996,0,0,0.301029996,0.301029996
proses:,0,0,0,1,0.602059991,0,0,0,0.602059991
implementasi:,0,0,0,1,,0,0,0,0.602059991
